feed,network,population,runs,action_rate_mean,action_rate_median,action_rate_ci_low,action_rate_ci_high,reach_rate_mean,reach_rate_median,reach_rate_ci_low,reach_rate_ci_high,positive_share_mean,positive_share_median,positive_share_ci_low,positive_share_ci_high,neutral_share_mean,neutral_share_median,neutral_share_ci_low,neutral_share_ci_high,negative_share_mean,negative_share_median,negative_share_ci_low,negative_share_ci_high,js_distance_to_calibration_target_mean,js_distance_to_calibration_target_median,js_distance_to_calibration_target_ci_low,js_distance_to_calibration_target_ci_high,sentiment_mean_mean,sentiment_mean_median,sentiment_mean_ci_low,sentiment_mean_ci_high,sentiment_shift_mean,sentiment_shift_median,sentiment_shift_ci_low,sentiment_shift_ci_high,normalized_entropy_mean,normalized_entropy_median,normalized_entropy_ci_low,normalized_entropy_ci_high,polarization_index_mean,polarization_index_median,polarization_index_ci_low,polarization_index_ci_high,cross_sentiment_edge_share_mean,cross_sentiment_edge_share_median,cross_sentiment_edge_share_ci_low,cross_sentiment_edge_share_ci_high,largest_cascade_share_mean,largest_cascade_share_median,largest_cascade_share_ci_low,largest_cascade_share_ci_high,cascade_depth_mean,cascade_depth_median,cascade_depth_ci_low,cascade_depth_ci_high,cascade_breadth_mean,cascade_breadth_median,cascade_breadth_ci_low,cascade_breadth_ci_high,time_to_50pct_mean,time_to_50pct_median,time_to_50pct_ci_low,time_to_50pct_ci_high
chronological,matched_random,1000,50,0.96602,0.9655,0.952225,0.9806499999999999,0.9965600000000001,0.997,0.994,0.999,0.4379461252328293,0.46411652835408024,0.12593421291764578,0.725896582560399,0.4172608477832118,0.422634811638961,0.24328619970629559,0.6112294643838048,0.1447930269839589,0.10062240663900415,0.02869072409435415,0.4128777105725482,0.0703808893486863,0.07496899376289946,0.012433708751248367,0.1266620104728945,0.2931530982488704,0.33955096328115425,-0.2869434976549024,0.6985181793830035,0.04275309824887041,0.05750972379798597,-0.08694349765490242,0.1334328069473138,0.8150963626979242,0.8497898307802543,0.6067420932680434,0.9247910500604232,0.17151431200409392,0.19083308964527987,0.08240668846660355,0.2690773972025832,0.5051283142251901,0.5195187040748163,0.38071277128547576,0.5730110494467757,0.1525493578495973,0.14889418584897646,0.11088238844684507,0.20669149395509498,10.02,10.0,9.0,11.0,7.28,7.0,6.0,10.0,5.94,6.0,5.0,6.774999999999999
chronological,matched_random,200,50,0.9653999999999999,0.965,0.941125,0.9938750000000001,0.9971,1.0,0.986125,1.0,0.43785106468487195,0.4716698232323232,0.10722661576220344,0.7410472056429734,0.42040649500925503,0.44470301418439717,0.2290626695604992,0.6252911098991001,0.14174244030587302,0.09866681060074486,0.01640769944341373,0.42631041890440385,0.0862098449655643,0.08138843968497156,0.015396701130754756,0.1616592563542003,0.29610862437899893,0.35657305657305655,-0.3181797109353695,0.711157080846446,0.045708624378998926,0.0693167439323698,-0.13462817698391052,0.2100315789473684,0.8071065624231986,0.8217518667506528,0.5832165885333507,0.9395474010037129,0.16476504440770903,0.17069678244193479,0.04713369100114431,0.30782440661830257,0.5049853372360598,0.5134453781512605,0.3622394458166539,0.5899159663865546,0.4792812531327011,0.4533360182574842,0.32641426282051283,0.7008708627238198,8.86,9.0,7.225,10.0,6.06,6.0,4.0,8.774999999999999,5.9,6.0,5.0,7.0
chronological,matched_random,500,50,0.9679599999999999,0.969,0.9493499999999999,0.98,0.99684,0.998,0.99245,1.0,0.4328986845900491,0.45222070119400715,0.12557554934389317,0.7370113657576324,0.4192414187466384,0.41289292581282244,0.23364109406553873,0.5974129193773334,0.14785989666331248,0.1105435192557516,0.020962307120282582,0.45602749681006577,0.07740704849796282,0.0808848164712177,0.015450074058041361,0.14516100076244023,0.2850387879267366,0.329906794771043,-0.3296470580779273,0.7076962809917355,0.0346387879267366,0.037173771660781674,-0.12964705807792734,0.1547743055555555,0.8176148861539967,0.8512996773002175,0.6059338745633869,0.9279587823979951,0.17240616510905873,0.19545153111765912,0.060433884297520654,0.2700408388484238,0.5080006001703261,0.534,0.3671231462925852,0.5798344481605351,0.2513288470065149,0.24427370377574617,0.1643758690308611,0.37087504170837504,9.52,9.5,8.225,11.0,6.64,6.0,5.0,9.0,5.94,6.0,5.0,7.0
chronological,post_affiliation_proxy,1000,50,0.41881999999999997,0.424,0.343475,0.46809999999999996,0.48432000000000003,0.485,0.40222500000000005,0.55315,0.43750545599467394,0.4564991844532345,0.12291094322344322,0.7320534624106052,0.41602656338087285,0.4300171211935918,0.22952143116077542,0.6018096590909091,0.14646798062445318,0.10660844531812275,0.015243956590469086,0.4097579896074524,0.06935389866708026,0.07346197688731504,0.014876211366135322,0.12409260388462867,0.2910374753702208,0.340484592218538,-0.2838935574229691,0.7159677467478219,0.040637475370220784,0.04441472614430664,-0.10951420145894769,0.12956607561057212,0.8191033501651726,0.8522115405447066,0.585226605643193,0.9454109140729223,0.17859008919923405,0.18138412942862608,0.04419306044141054,0.28956794032079036,0.5262435807451351,0.5548333333333333,0.4245741482965932,0.5981743600648076,0.08068512365356013,0.0793095793095793,0.06956668923493568,0.09242852562214936,10.92,11.0,10.0,12.0,4.06,4.0,3.0,5.0,5.98,6.0,5.0,7.0
chronological,post_affiliation_proxy,200,50,0.4053,0.395,0.27175,0.5887499999999999,0.462,0.46,0.3195,0.6488750000000001,0.43756305253294947,0.42997198879551823,0.10028481012658229,0.8086647727272727,0.4132517574268586,0.4226366819283598,0.16455965909090908,0.680706460988151,0.14918519004019193,0.10652482269503546,0.01327956020187455,0.465247410817031,0.10218110143992569,0.1057228412494122,0.012140066132796772,0.19189768022972117,0.2883778624927576,0.32352941176470584,-0.3549755985969193,0.7834517045454545,0.037977862492757565,0.03469918699186991,-0.21750565099457508,0.21704410711443578,0.8033550318293077,0.8308785935280443,0.5044965986946722,0.9729270264959955,0.17193229062431528,0.15899285009861935,0.03832375144042089,0.34579745946468854,0.5269439561378014,0.546419654449216,0.4155842321520288,0.6097257882882883,0.35538862215268835,0.3413406214039125,0.28075000000000006,0.5277401129943502,9.58,10.0,8.0,11.0,3.4,3.0,3.0,4.0,5.42,5.0,4.0,6.774999999999999
chronological,post_affiliation_proxy,500,50,0.40240000000000004,0.396,0.29935,0.51975,0.4632,0.454,0.33735,0.6147999999999999,0.43561623390295884,0.45207910750507097,0.1059218069250172,0.7835863377609107,0.42017469507301586,0.4284526854219949,0.20301572241799948,0.6311859776917823,0.14420907102402533,0.10639501980758348,0.016554054054054055,0.43394094916072934,0.08182150029909806,0.08409455034001194,0.00787414556486922,0.1639501836657637,0.29140716287893353,0.339572192513369,-0.3284313488709093,0.770188397939821,0.04100716287893351,0.027970369289154834,-0.12843134887090935,0.19665178933642422,0.8135946114772673,0.8537713690090847,0.5201838310839297,0.9410358382956385,0.16865374659271468,0.1768885462826259,0.04903856978947343,0.2881895971058106,0.5293609626835692,0.5573333333333333,0.4285333333333334,0.6068556780227121,0.15867672873449398,0.15222537878787878,0.12404712001242044,0.22677609501942772,10.34,10.0,9.0,12.0,3.86,4.0,3.0,5.0,5.76,6.0,5.0,7.0
interest,matched_random,1000,50,0.9678,0.9695,0.95145,0.977775,0.99634,0.9964999999999999,0.992225,0.999,0.44284028668801034,0.45734776771662816,0.09885905318347912,0.7445752093120832,0.4248331577678011,0.45181486254295533,0.24095441964497755,0.5957163519893913,0.1323265555441886,0.07876851001206062,0.014093415384093765,0.43313996078684847,0.09609015127903126,0.09714680660833244,0.032189833885922906,0.15422529329038476,0.31051373114382175,0.363085687598128,-0.33035831151832457,0.7279509174008081,0.060113731143821736,0.09461987976036748,-0.13035831151832458,0.15251885366962054,0.7867013953283863,0.8154634436258215,0.5771114801543231,0.8986415648691604,0.13717504945455603,0.15420588009748326,0.04195991695532402,0.21771898037772325,0.47352468079203514,0.4915,0.35077256615332775,0.5411077488309953,0.14006796933608467,0.13554254271399818,0.1001047384458577,0.20513144743616923,7.88,8.0,7.0,9.0,9.72,10.0,8.0,12.0,5.96,6.0,5.0,6.0
interest,matched_random,200,50,0.9658,0.965,0.92225,0.9938750000000001,0.9972,1.0,0.986125,1.0,0.4458728263216265,0.458633428123422,0.09230400219298246,0.7883883248730964,0.42554691751427776,0.43842876305199757,0.19568527918781725,0.6317432506135805,0.12858025616409574,0.08718865889902948,0.011861905154186232,0.4305674342105263,0.10957478836643443,0.10532695991086632,0.02438437940179928,0.18190781158144337,0.31729257015753076,0.3650206196468224,-0.3357908442982456,0.7724619289340101,0.06689257015753075,0.09013475699558174,-0.15986161858974357,0.21934662105866126,0.7845450656133519,0.8132799217008015,0.5211493982736262,0.950797437914306,0.14401612065712358,0.14182162687566524,0.035522155595314284,0.2920735095918224,0.4704808256981901,0.4912311557788945,0.307953539950127,0.5644022194304857,0.4462755939828671,0.4404081084709357,0.3164325615284974,0.6263566857807694,6.98,7.0,6.0,8.0,7.72,8.0,6.0,10.0,5.86,6.0,5.0,7.0
interest,matched_random,500,50,0.9698399999999999,0.97,0.9529,0.9815499999999999,0.99712,0.998,0.994,1.0,0.43202597622310707,0.4454732510288066,0.08214540730099713,0.7710116959064327,0.43189052725422333,0.4475306420542349,0.2206101364522417,0.6386640519618877,0.13608349652266963,0.09128607134742103,0.00827333766515053,0.45378566934222164,0.1022725339231428,0.10760996121294278,0.0248500911934646,0.17415145156328077,0.2959424797004374,0.3476987553333838,-0.36485316764341014,0.7626335282651071,0.04554247970043738,0.0630933026584867,-0.16717275527227618,0.18616615601693204,0.7871494514168914,0.8322949322335644,0.5224423841369875,0.9157569729500206,0.1381402299189984,0.13959842123795693,0.025385277332703966,0.2489490893401093,0.47554734824686934,0.49766131191432394,0.32584172818404294,0.5537,0.22369584502476653,0.2164091494357343,0.15900435186750042,0.3073183015651635,7.52,8.0,6.0,9.0,9.44,9.0,7.0,13.774999999999999,5.82,6.0,5.0,6.774999999999999
interest,post_affiliation_proxy,1000,50,0.41566000000000003,0.4155,0.358375,0.47982499999999995,0.48042,0.483,0.4209,0.554775,0.4424658543705837,0.45843400805397766,0.1003074144347953,0.7612402303578774,0.4254022915570909,0.44104528430371126,0.22054209903000227,0.6110208802278296,0.13213185407232536,0.08508437155022866,0.007132352941176472,0.42247774210027,0.09200816553348687,0.09290488300145783,0.03199351194591786,0.1685754299065187,0.31033400029825836,0.3617099510698052,-0.3221703276654747,0.7539242778094771,0.05993400029825837,0.07289499709133215,-0.12217032766547474,0.19712622887864822,0.7924323003022528,0.821583255400384,0.5248143969364409,0.9307389643957995,0.14595182644442845,0.14840779391769363,0.02165204444159654,0.2638315255454893,0.5062218291266823,0.5393219382560335,0.4077578497000675,0.5827148286556418,0.08159003353282118,0.0811496775963781,0.07142857142857142,0.09418893902580122,8.96,9.0,7.0,10.774999999999999,6.0,6.0,6.0,6.0,5.92,6.0,5.0,6.0
