campaign,scenario,runs,action_rate_mean,action_rate_median,action_rate_ci_low,action_rate_ci_high,reach_rate_mean,reach_rate_median,reach_rate_ci_low,reach_rate_ci_high,positive_share_mean,positive_share_median,positive_share_ci_low,positive_share_ci_high,neutral_share_mean,neutral_share_median,neutral_share_ci_low,neutral_share_ci_high,negative_share_mean,negative_share_median,negative_share_ci_low,negative_share_ci_high,js_distance_to_calibration_target_mean,js_distance_to_calibration_target_median,js_distance_to_calibration_target_ci_low,js_distance_to_calibration_target_ci_high,sentiment_mean_mean,sentiment_mean_median,sentiment_mean_ci_low,sentiment_mean_ci_high,sentiment_shift_mean,sentiment_shift_median,sentiment_shift_ci_low,sentiment_shift_ci_high,normalized_entropy_mean,normalized_entropy_median,normalized_entropy_ci_low,normalized_entropy_ci_high,polarization_index_mean,polarization_index_median,polarization_index_ci_low,polarization_index_ci_high,cross_sentiment_edge_share_mean,cross_sentiment_edge_share_median,cross_sentiment_edge_share_ci_low,cross_sentiment_edge_share_ci_high,largest_cascade_share_mean,largest_cascade_share_median,largest_cascade_share_ci_low,largest_cascade_share_ci_high,cascade_depth_mean,cascade_depth_median,cascade_depth_ci_low,cascade_depth_ci_high,cascade_breadth_mean,cascade_breadth_median,cascade_breadth_ci_low,cascade_breadth_ci_high,time_to_50pct_mean,time_to_50pct_median,time_to_50pct_ci_low,time_to_50pct_ci_high
KFC Bucket Ware,baseline,10,0.39459999999999995,0.408,0.3116,0.4551,0.45200000000000007,0.459,0.37445,0.53285,0.714255160729866,0.7215350922932526,0.6293300653594771,0.817569345661451,0.257045112513747,0.2601939722598811,0.15935395922238027,0.34069535221496006,0.028699726756387083,0.020267237862097102,0.015379359708485163,0.06960499316005472,0.09221536718090866,0.09196770056381809,0.02191699069807682,0.16962903149528896,0.6855554339734788,0.7032641568463864,0.5717168262653899,0.7944926505452823,0.09255543397347886,0.11026415684638652,-0.021283173734610097,0.20149265054528226,0.6169593238469748,0.599732972008435,0.49414499416767,0.7532789872722476,0.07958057944195401,0.06241750382956932,0.04456441254788045,0.17888839426904285,0.4338701939215161,0.4379394948803016,0.3762567035411936,0.48592500437115843,0.1690967305077131,0.174156406748746,0.13559256158813682,0.1970288432497735,8.7,8.5,7.225,10.775,6.0,6.0,6.0,6.0,5.7,5.5,5.0,7.0
KFC Bucket Ware,positive_clarity_frame,10,0.4202,0.42500000000000004,0.34165,0.48795,0.4664,0.46399999999999997,0.38785000000000003,0.536,0.8811667793489988,0.8866284763023894,0.858097595473833,0.9018097844680124,0.11298701424094566,0.1082400416558188,0.09710286235602691,0.13480398715547232,0.005846206410055505,0.004142224966553463,0.0,0.02542034158284417,0.25472066121485326,0.2601667722581094,0.21900888885452896,0.2853931222252474,0.8753205729389434,0.8839110849980416,0.8357002743281909,0.9014186289293586,0.2823205729389434,0.2909110849980416,0.24270027432819097,0.30841862892935856,0.34756116200974374,0.33294505934720764,0.2930269771656011,0.4249516538512969,0.020307085314039054,0.014855059075405023,0.0,0.08763183515105591,0.3602592696801658,0.3557335554643423,0.31835585130596167,0.4004804044802586,0.1509124524469939,0.14817622500549332,0.13576421248835044,0.16794554455445543,9.1,9.0,7.225,11.0,6.0,6.0,6.0,6.0,5.6,5.5,5.0,6.775
MK Buffet,baseline,10,0.3868,0.362,0.3036,0.4921,0.4476,0.419,0.3469,0.5810000000000001,0.4559029552977897,0.47564947265576074,0.34289545116238346,0.5753672316384181,0.4230640679104285,0.4089139232199497,0.3473983050847458,0.49165973468762314,0.12103297679178185,0.11640403837963775,0.0518997175141243,0.18170017755170595,0.07844177882897575,0.06477636211160837,0.045911448115571074,0.16229911885591325,0.3348699785060078,0.359245434276123,0.16606603003982914,0.5209675141242939,0.05086997850600784,0.07524543427612299,-0.11793396996017082,0.2369675141242939,0.8739949358580767,0.8768428398069644,0.760425223893123,0.9399655737134851,0.20933375332367218,0.21631309344831143,0.10934922604423844,0.26780783653163664,0.5658242862195717,0.5614618473895583,0.542237014725569,0.5901333333333334,0.16797243915264531,0.16342316900976117,0.1282807634092451,0.24100843881856543,8.5,9.0,7.0,9.775,5.8,6.0,4.45,6.0,5.5,5.5,5.0,6.0
MK Buffet,positive_clarity_frame,10,0.3942,0.38,0.30875,0.49105,0.44719999999999993,0.44,0.34025,0.5659,0.6911462752356334,0.6997547712975797,0.6160738916256158,0.7734669769106856,0.26650892945938975,0.26643320240405094,0.18965724002147843,0.33443842364532017,0.04234479530497675,0.04276864728192162,0.009973400570779419,0.07543129429860117,0.24793907902172624,0.24866114644288084,0.17970786776207803,0.3187679503948696,0.6488014799306567,0.6557468813306322,0.5595684978487249,0.7372675921663066,0.36480147993065676,0.3717468813306323,0.27556849784872484,0.4532675921663067,0.6651474464796068,0.6697586753486037,0.5606747987754713,0.7599327980268632,0.11450423608222937,0.11852702915822705,0.028969598528699493,0.19424748734875005,0.5203082465872408,0.5193979933110368,0.4716,0.5660827309236948,0.16400519728833413,0.16471554993678889,0.13717905405405406,0.18471846148827192,8.7,8.0,7.225,11.0,5.9,6.0,5.225,6.0,5.8,6.0,4.225,7.0
Parameter Gelato,baseline,10,0.3846,0.379,0.29625,0.48545000000000005,0.4418,0.433,0.34335,0.56495,0.16261809585062748,0.17306332842415317,0.10979247104247104,0.20742101565821824,0.4870512813280322,0.49574829931972786,0.43193989980219255,0.5189399077590885,0.3503306228213403,0.3570326916191578,0.30498674521354935,0.3923372862658577,0.044360227847289234,0.04600920512422408,0.021555347351485097,0.06656202589950908,-0.18771252697071286,-0.16097165991902834,-0.28254481522338665,-0.12438144329896905,0.012287473029287118,0.03902834008097163,-0.08254481522338666,0.07561855670103093,0.9171352004947355,0.9179172342841637,0.8707139648782987,0.9617541365750221,0.22582952767529366,0.2158264588181962,0.1720974887502742,0.29921980993719294,0.5693191108565109,0.5684179303613562,0.544161399722522,0.5872632264529059,0.16571185655188064,0.1624742268041237,0.13005841790989592,0.20257116004296455,8.9,8.5,7.225,10.775,6.0,6.0,6.0,6.0,5.8,6.0,4.225,7.0
Parameter Gelato,positive_clarity_frame,10,0.39,0.382,0.2976,0.5032000000000001,0.4452,0.434,0.33230000000000004,0.5831,0.3718250997507814,0.3562744298697873,0.30477908874105686,0.4605389848246991,0.4729430513138273,0.4755322391048805,0.4253872318158033,0.5183904159470651,0.15523184893539138,0.14951205804210096,0.11185959671396564,0.2037439178230312,0.24860150148967844,0.2506649284136498,0.19478524799040514,0.3222783429857403,0.21659325081538996,0.21315783433935415,0.12239310479751318,0.3464652014652015,0.4165932508153899,0.41315783433935416,0.32239310479751315,0.5464652014652015,0.9140214179272039,0.9139354907034494,0.8771683709032905,0.9523976319365137,0.22605799497839657,0.2220207008156868,0.19370498714694506,0.2709787709886926,0.576949883132506,0.5794589730158091,0.5462680602006689,0.5999546249690015,0.1630121509466163,0.1630568686434608,0.12944924099463936,0.2055357142857143,8.3,8.0,8.0,9.775,5.9,6.0,5.225,6.0,5.6,6.0,4.225,6.775
วิ่งแลกแว่น | Top Charoen,baseline,10,0.41200000000000003,0.402,0.36825,0.48059999999999997,0.48260000000000003,0.482,0.41719999999999996,0.55415,0.3372371283158434,0.3472949389179756,0.23992335924006908,0.4695020614883437,0.5725691393371262,0.5769285359449294,0.4770343656009803,0.6331018518518519,0.0901937323470304,0.08621506905392887,0.04878937551809892,0.1448718298336515,0.1311598052704732,0.1274565220049413,0.08599022645286614,0.20261118680686394,0.24704339596881303,0.248734190851701,0.09743091537132988,0.417588071154517,0.047043395968813,0.04873419085170101,-0.10256908462867015,0.21758807115451698,0.8069786012574683,0.8000731582060598,0.7638966483157037,0.8560259647815973,0.11344732063924634,0.10807957411428643,0.07753141790563654,0.15183050319687097,0.44233333333333336,0.44033333333333335,0.41741666666666666,0.4653333333333333,0.1484772866022273,0.15120173364854217,0.12193997371426109,0.17421394395078604,9.0,9.0,8.0,10.0,6.0,6.0,6.0,6.0,5.8,6.0,5.0,6.775
วิ่งแลกแว่น | Top Charoen,positive_clarity_frame,10,0.43339999999999995,0.441,0.36634999999999995,0.49215,0.5002,0.498,0.43165,0.56765,0.6619595836296145,0.6711990446724203,0.5603813559322034,0.7425223214285714,0.3186821883320535,0.3126953726940519,0.25401785714285713,0.4088983050847458,0.019358228038332065,0.021998441527303243,0.0010044642857142856,0.042089525190286345,0.3610298833722441,0.36955249967591997,0.2712669801151766,0.4342147123372736,0.6426013555912824,0.6468834166987303,0.5296610169491526,0.7390625,0.44260135559128233,0.4468834166987303,0.3296610169491525,0.5390625,0.6385960652267968,0.6364162423758608,0.5307045039505807,0.7246969718326959,0.04974909029682208,0.05674493662637517,0.002856542743121193,0.11141390902172482,0.42033333333333334,0.41866666666666663,0.38433333333333336,0.4562833333333333,0.14861165064733353,0.14895395783206233,0.1345401116661769,0.159828995157385,8.6,9.0,7.225,9.775,6.0,6.0,6.0,6.0,5.9,6.0,5.0,6.775
ไทยช่วยไทยพลัส,baseline,10,0.422,0.42,0.3347,0.51465,0.49000000000000005,0.496,0.38645,0.59505,0.5429341828728605,0.5551305589555284,0.42238018006090294,0.6205899452804378,0.366765244420885,0.36481959996171887,0.3255107159142727,0.42498266296809983,0.09030057270625444,0.08116323382633155,0.05135190918472653,0.15737455315768567,0.13908576521607613,0.14149754454711433,0.09525893269169106,0.17987792550125684,0.4526336101666061,0.4816779852857952,0.2650056269032173,0.5666906064751481,0.07763361016660605,0.10667798528579511,-0.10999437309678281,0.19169060647514813,0.8222747608629177,0.8083259376192169,0.745075525803859,0.927165972653376,0.18776708805577608,0.17584274055549404,0.1180595967244646,0.2728426761315233,0.5393582013435655,0.5405390781563126,0.4921314591700134,0.5687090301003345,0.15279245972958233,0.14891222805701426,0.1361292665214234,0.17976616406848964,8.7,9.0,8.0,9.775,6.0,6.0,6.0,6.0,5.6,6.0,5.0,6.0
ไทยช่วยไทยพลัส,positive_clarity_frame,10,0.44699999999999995,0.412,0.32195,0.59215,0.5078,0.474,0.38960000000000006,0.6719,0.7308641832840603,0.7348481867663453,0.6824754901960784,0.7905200063094799,0.2322786385711019,0.23637615581349597,0.18427289637815952,0.26439993829699715,0.036857178144837764,0.0287756574201587,0.021724328303275676,0.0653186274509804,0.21726244551806015,0.2296234331722471,0.15598872124179827,0.2611471288138406,0.6940070051392226,0.7052246226159269,0.6171568627450981,0.76584993953415,0.31900700513922253,0.3302246226159269,0.242156862745098,0.39084993953415,0.6232566935743884,0.614025700941665,0.5358317889243579,0.7154696099585458,0.10628948118538258,0.08457020623152854,0.06366420801908534,0.178263168012303,0.48304392426173487,0.4873333333333333,0.46287528390113564,0.5045666666666667,0.15079129412988476,0.1522394380231168,0.11826677159157978,0.1806149732620321,9.0,9.0,7.225,10.0,6.0,6.0,6.0,6.0,5.7,6.0,5.0,6.775
