campaign,seed,action_rate_delta,reach_rate_delta,positive_share_delta,neutral_share_delta,negative_share_delta,js_distance_to_calibration_target_delta,sentiment_mean_delta,sentiment_shift_delta,normalized_entropy_delta,polarization_index_delta,cross_sentiment_edge_share_delta,largest_cascade_share_delta,cascade_depth_delta,cascade_breadth_delta,time_to_50pct_delta
KFC Bucket Ware,1,0.045999999999999985,0.014000000000000012,0.17682015385176275,-0.16294797477122752,-0.013872179080535198,0.17568853247924743,0.19069233293229804,0.19069233293229804,-0.2798750555306113,-0.036937407437451046,-0.09303882195448465,0.0024244412847715946,1,0,0
KFC Bucket Ware,2,0.08000000000000002,0.08000000000000002,0.22558366947805886,-0.21201564600904532,-0.013568023469013566,0.15205838402012142,0.2391516929470724,0.2391516929470724,-0.2778082961297485,-0.030039327935564207,-0.08926174496644296,-0.010695513995844008,3,0,1
KFC Bucket Ware,3,-0.009999999999999953,-0.020000000000000018,0.21692661189249407,-0.1712853363041359,-0.04564127558835816,0.172243751081902,0.26256788748085225,0.26256788748085225,-0.3286737696474652,-0.09183894156160011,-0.06425702811244982,-0.05396184375435176,1,0,0
KFC Bucket Ware,4,0.03600000000000003,0.01599999999999996,0.14228934817170114,-0.12758346581875996,-0.014705882352941176,0.15669433142706055,0.15699523052464226,0.15699523052464226,-0.24752810704933326,-0.04382929642445214,-0.05733333333333335,-0.03643349231584525,2,0,-2
KFC Bucket Ware,5,0.021999999999999964,0.03200000000000003,0.142097009073597,-0.12861730331204957,-0.013479705761547365,0.15431582820193993,0.15557671483514446,0.15557671483514446,-0.24845845078093898,-0.038398723822680045,-0.07981220657276994,0.0062917740188939975,2,0,-1
KFC Bucket Ware,6,0.014000000000000012,0.007999999999999952,0.13928346951602766,-0.12067881835323696,-0.018604651162790697,0.15468401736779974,0.1578881206788183,0.1578881206788183,-0.23629819643732014,-0.053996755002704164,-0.07491638795986622,-0.010077519379844968,-1,0,0
KFC Bucket Ware,7,0.06,0.03199999999999997,0.20405138339920958,-0.18351214003387917,-0.020539243365330324,0.19780767414179617,0.2245906267645399,0.2245906267645399,-0.30815177061641713,-0.05158021862996945,-0.10220440881763526,-0.03176171654432525,0,0,0
KFC Bucket Ware,8,0.010000000000000009,-0.006000000000000005,0.06804833973345381,-0.04611851517205029,-0.021929824561403508,0.09893363326336335,0.08997816429485728,0.08997816429485728,-0.17424107852510873,-0.07271468144044321,-0.05153949129852742,-0.029704088547549107,-3,0,0
KFC Bucket Ware,9,0.0,-0.010000000000000009,0.12432432432432428,-0.0972972972972973,-0.02702702702702703,0.15832091201682916,0.15135135135135125,0.15135135135135125,-0.2658128405701888,-0.08414901387874361,-0.05083612040133778,0.010810810810810811,-2,0,0
KFC Bucket Ware,10,-0.0019999999999999463,-0.0020000000000000018,0.22969187675070024,-0.1905244856563315,-0.03916739109436878,0.20430587633938604,0.2688592678450691,0.2688592678450691,-0.32713405308517884,-0.08925057514554163,-0.0729096989966555,-0.02873563218390804,1,0,1
