experiment,condition,model,campaign,runs,sentiment_js_distance_mean,sentiment_js_distance_median,sentiment_js_distance_ci_low,sentiment_js_distance_ci_high,positive_share_mean,positive_share_median,positive_share_ci_low,positive_share_ci_high,neutral_share_mean,neutral_share_median,neutral_share_ci_low,neutral_share_ci_high,negative_share_mean,negative_share_median,negative_share_ci_low,negative_share_ci_high,schema_valid_share_mean,schema_valid_share_median,schema_valid_share_ci_low,schema_valid_share_ci_high,thai_character_ratio_mean,thai_character_ratio_median,thai_character_ratio_ci_low,thai_character_ratio_ci_high,latin_character_ratio_mean,latin_character_ratio_median,latin_character_ratio_ci_low,latin_character_ratio_ci_high,exact_duplicate_share_mean,exact_duplicate_share_median,exact_duplicate_share_ci_low,exact_duplicate_share_ci_high,distinct_char_bigram_mean,distinct_char_bigram_median,distinct_char_bigram_ci_low,distinct_char_bigram_ci_high,narrative_count_mean,narrative_count_median,narrative_count_ci_low,narrative_count_ci_high,narrative_entropy_mean,narrative_entropy_median,narrative_entropy_ci_low,narrative_entropy_ci_high,mean_length_chars_mean,mean_length_chars_median,mean_length_chars_ci_low,mean_length_chars_ci_high,latency_seconds_mean,latency_seconds_median,latency_seconds_ci_low,latency_seconds_ci_high,prompt_tokens_mean,prompt_tokens_median,prompt_tokens_ci_low,prompt_tokens_ci_high,completion_tokens_mean,completion_tokens_median,completion_tokens_ci_low,completion_tokens_ci_high,cost_usd_mean,cost_usd_median,cost_usd_ci_low,cost_usd_ci_high
exp1_grounding,leaky_invalid_upper_bound,deepseek/deepseek-v4-flash-0731,KFC Bucket Ware,10,0.26918492571690555,0.22472078139181012,0.1687903028935192,0.45508125711555664,0.4833333333333333,0.5,0.3333333333333333,0.6479166666666667,0.25,0.25,0.10208333333333333,0.33333333333333326,0.26666666666666666,0.20833333333333331,0.16666666666666666,0.48125000000000007,1.0,1.0,1.0,1.0,0.9880362661345707,0.9939582526152654,0.9592227727501152,1.0,0.011963733865429382,0.0060417473847345984,0.0,0.04077722724988475,0.0,0.0,0.0,0.0,0.5577565108512956,0.5604803172737955,0.5222695128339445,0.5942177449832182,10.2,10.0,8.0,12.0,3.284962500721156,3.2516291673878226,2.918295834054489,3.584962500721156,53.7,53.66666666666667,45.327083333333334,67.12083333333334,32.222825069998365,21.95035120999819,5.475481154022237,77.31163233894821,647.4,641.0,636.6750000000001,666.0,828.2,839.0,756.6,899.8,0.00013822799999999998,0.00013974,0.00012913199999999998,0.00014638949999999998
exp1_grounding,leaky_invalid_upper_bound,deepseek/deepseek-v4-flash-0731,MK Buffet,10,0.18505995398552222,0.1898206706688792,0.127450041590897,0.26422264975893317,0.31785714285714284,0.3333333333333333,0.25,0.4258928571428572,0.3869047619047619,0.4166666666666667,0.25803571428571426,0.5458333333333334,0.2952380952380952,0.30952380952380953,0.18541666666666665,0.3979166666666667,0.9583333333333334,1.0,0.6770833333333334,1.0,0.9935499780358098,0.9959737892060361,0.9716119396749802,1.0,0.006450021964190147,0.004026210793963918,0.0,0.028388060325019848,0.0,0.0,0.0,0.0,0.5670654029732228,0.5614646564715913,0.4817257882882883,0.7137750155240595,10.9,12.0,7.449999999999999,12.0,3.4009110136701053,3.584962500721156,2.8556624865913385,3.584962500721156,51.15,54.25,31.364583333333336,64.53333333333333,19.240834533598537,13.50082662049681,6.12441342812399,55.369507344077476,708.4,702.5,697.6750000000001,726.5500000000001,728.7,767.5,398.175,882.4,0.00012994799999999998,0.00013415999999999998,8.9682e-05,0.00014941499999999996
exp1_grounding,leaky_invalid_upper_bound,deepseek/deepseek-v4-flash-0731,Parameter Gelato,10,0.1742368180288804,0.15438566451959337,0.03193295649196631,0.3138557752084622,0.15833333333333333,0.16666666666666666,0.0,0.33333333333333326,0.4,0.375,0.3333333333333333,0.5,0.4416666666666667,0.45833333333333337,0.3333333333333333,0.5645833333333334,1.0,1.0,1.0,1.0,0.9659152182980197,0.9663194521071952,0.935760412494994,1.0,0.03408478170198036,0.03368054789280486,0.0,0.06423958750500601,0.0,0.0,0.0,0.0,0.5705733464692837,0.5726082177369866,0.4919938152514624,0.6431782004402482,7.3,7.5,4.225,10.0,2.6329722427417606,2.6682958340544896,1.8751857460815469,3.2516291673878226,49.425,48.291666666666664,38.62083333333334,65.95208333333333,24.99560156769876,16.137955290498212,4.585354225948868,73.90734721664812,616.6,609.5,603.675,632.55,792.0,791.5,745.9,868.0250000000001,0.00013203599999999998,0.00013215,0.00012572849999999998,0.0001408575
exp1_grounding,leaky_invalid_upper_bound,deepseek/deepseek-v4-flash-0731,วิ่งแลกแว่น | Top Charoen,10,0.24387782595872037,0.2274214925495323,0.166536428234117,0.3699579036848827,0.3083333333333333,0.3333333333333333,0.25,0.3979166666666667,0.475,0.5,0.3333333333333333,0.5833333333333334,0.21666666666666665,0.16666666666666666,0.16666666666666666,0.33333333333333326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5272544954758133,0.5233649873920274,0.48464752470833533,0.5755577570607234,11.6,12.0,8.9,12.0,3.501629167387823,3.584962500721156,2.939129167387823,3.584962500721156,56.825,57.25,41.737500000000004,73.0875,34.897786379999886,23.75183735649989,5.621494755748972,83.93868546822797,713.1,709.5,704.6750000000001,732.875,829.5,838.0,699.45,942.175,0.000142326,0.00014303999999999999,0.00012650700000000001,0.00015686849999999998
exp1_grounding,leaky_invalid_upper_bound,deepseek/deepseek-v4-flash-0731,ไทยช่วยไทยพลัส,10,0.1433254111925105,0.15865222239091037,0.07802128945125042,0.19204361984486676,0.4333333333333333,0.4166666666666667,0.3520833333333333,0.5,0.25833333333333336,0.25,0.18541666666666665,0.33333333333333326,0.3083333333333333,0.3333333333333333,0.25,0.33333333333333326,1.0,1.0,1.0,1.0,0.9996219281663515,1.0,0.9970699432892249,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5557271758825553,0.5619514186568687,0.505067229399472,0.5999349344158666,11.1,11.0,10.0,12.0,3.4349625007211557,3.418295834054489,3.2516291673878226,3.584962500721156,52.583333333333336,53.875,39.01875,67.00625,41.885901336000096,38.059695801995986,5.5353298428271955,96.49296178432434,661.9,660.5,655.675,678.2750000000001,810.8,825.5,722.75,932.725,0.00013701,0.00013874999999999998,0.0001263825,0.0001515735
exp1_grounding,leaky_invalid_upper_bound,qwen/qwen3-8b,KFC Bucket Ware,10,0.23563463217097746,0.21792735756488646,0.1765913100384254,0.33691304384844695,0.4333333333333333,0.4166666666666667,0.2875,0.5,0.4,0.3333333333333333,0.26875,0.6291666666666667,0.16666666666666666,0.16666666666666666,0.01875,0.3145833333333333,1.0,1.0,1.0,1.0,0.995604661027522,1.0,0.9793368078948025,1.0,0.0043953389724779805,0.0,0.0,0.0206631921051975,0.0,0.0,0.0,0.0,0.5802780008628954,0.5785938210115288,0.4883292535342978,0.6872609077936492,10.4,11.5,7.225,12.0,3.289047709018431,3.5016291673878226,2.645808360055591,3.584962500721156,45.33333333333333,44.5,33.12083333333334,59.28541666666666,15.678394538899738,15.695118683001056,13.305987403925975,18.04158006734706,848.4,848.0,844.0,857.1999999999999,912.3,920.5,781.9000000000001,1015.55,0.0005143593,0.0005180435,0.0004548752,0.0005614579749999999
exp1_grounding,leaky_invalid_upper_bound,qwen/qwen3-8b,MK Buffet,10,0.16808559863866418,0.15390973585581147,0.07639187586735167,0.2727507536129232,0.2833333333333333,0.25,0.16666666666666666,0.41666666666666674,0.55,0.5833333333333334,0.4354166666666667,0.6479166666666667,0.16666666666666666,0.16666666666666666,0.01875,0.3145833333333333,1.0,1.0,1.0,1.0,0.9981438515081207,1.0,0.9856148491879351,1.0,0.0018561484918793504,0.0,0.0,0.014385150812064972,0.0,0.0,0.0,0.0,0.5611156590528912,0.5734699428778673,0.48473346731350536,0.6026859955584336,10.8,11.0,7.449999999999999,12.0,3.3620051048697936,3.4182958340544896,2.683308360055591,3.584962500721156,50.79166666666667,49.25,42.08958333333334,64.30208333333334,15.996918255298805,15.875010071496945,13.646484911124935,18.82008797517792,929.4,929.0,925.0,938.2,911.2,932.5,821.0500000000001,986.3,0.0005233357999999999,0.000532805,0.00048219177499999997,0.000557187475
exp1_grounding,leaky_invalid_upper_bound,qwen/qwen3-8b,Parameter Gelato,10,0.1745340789831611,0.1419100937817861,0.025751885849932474,0.42383827490907994,0.16666666666666666,0.16666666666666666,0.0,0.3145833333333333,0.55,0.5416666666666667,0.3520833333333333,0.73125,0.2833333333333333,0.3333333333333333,0.0375,0.3979166666666667,1.0,1.0,1.0,1.0,0.9731844830001238,0.9741711758245616,0.9328728956341216,1.0,0.02681551699987623,0.02582882417543842,0.0,0.0671271043658785,0.0,0.0,0.0,0.0,0.5694622038314486,0.563283171708586,0.5268745557350566,0.6369419775014802,10.4,11.5,5.45,12.0,3.289047709018431,3.5016291673878226,2.301221875540867,3.584962500721156,47.55,47.958333333333336,40.0625,54.702083333333334,15.094366553200961,15.11488391649982,13.978937863375723,16.28826025485232,818.4,818.0,814.0,827.1999999999999,855.3,856.0,812.925,900.325,0.0004849143,0.000485069,0.000465393825,0.000506430275
exp1_grounding,leaky_invalid_upper_bound,qwen/qwen3-8b,วิ่งแลกแว่น | Top Charoen,10,0.21292330011558622,0.2007261167843948,0.05771475476570406,0.3616159212233783,0.29166666666666663,0.29166666666666663,0.25,0.33333333333333326,0.5083333333333333,0.5,0.3520833333333333,0.6666666666666665,0.2,0.16666666666666666,0.08333333333333333,0.33333333333333326,1.0,1.0,1.0,1.0,0.9969309462915602,1.0,0.9762148337595908,1.0,0.003069053708439898,0.0,0.0,0.02378516624040922,0.0,0.0,0.0,0.0,0.5101924727103018,0.4994573981361685,0.4394605605113437,0.6099842638578108,11.6,12.0,9.450000000000001,12.0,3.512005104869794,3.584962500721156,3.111209349539765,3.584962500721156,56.84166666666666,57.54166666666667,36.96875,80.58333333333334,17.34401065340062,17.07860540150068,15.264467366350255,19.704127102572055,955.4,955.0,951.0,964.2,1022.6,1029.5,891.975,1168.9,0.0005770648,0.0005796894999999999,0.0005173116,0.000643663475
exp1_grounding,leaky_invalid_upper_bound,qwen/qwen3-8b,ไทยช่วยไทยพลัส,10,0.19199902056242707,0.19248216037760613,0.08658352303098282,0.2649739325619703,0.35,0.3333333333333333,0.25,0.48125000000000007,0.36666666666666664,0.4166666666666667,0.18541666666666665,0.48125000000000007,0.2833333333333333,0.25,0.18541666666666665,0.3979166666666667,1.0,1.0,1.0,1.0,0.99958071278826,1.0,0.9967505241090147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5418347361887228,0.5405967710935998,0.4991988815758471,0.5778018867924528,12.0,12.0,12.0,12.0,3.5849625007211556,3.584962500721156,3.584962500721156,3.584962500721156,51.458333333333336,50.666666666666664,42.96458333333334,64.42083333333333,16.62023848519966,16.688087681999605,14.524629978544363,19.24133728000452,920.4,920.0,916.0,929.2,964.1,962.5,870.3000000000001,1067.275,0.0005463522999999999,0.000545987,0.00050343345,0.00059317115
