experiment,condition,model,runs,sentiment_js_distance_mean,sentiment_js_distance_median,sentiment_js_distance_ci_low,sentiment_js_distance_ci_high,positive_share_mean,positive_share_median,positive_share_ci_low,positive_share_ci_high,neutral_share_mean,neutral_share_median,neutral_share_ci_low,neutral_share_ci_high,negative_share_mean,negative_share_median,negative_share_ci_low,negative_share_ci_high,schema_valid_share_mean,schema_valid_share_median,schema_valid_share_ci_low,schema_valid_share_ci_high,thai_character_ratio_mean,thai_character_ratio_median,thai_character_ratio_ci_low,thai_character_ratio_ci_high,latin_character_ratio_mean,latin_character_ratio_median,latin_character_ratio_ci_low,latin_character_ratio_ci_high,exact_duplicate_share_mean,exact_duplicate_share_median,exact_duplicate_share_ci_low,exact_duplicate_share_ci_high,distinct_char_bigram_mean,distinct_char_bigram_median,distinct_char_bigram_ci_low,distinct_char_bigram_ci_high,narrative_count_mean,narrative_count_median,narrative_count_ci_low,narrative_count_ci_high,narrative_entropy_mean,narrative_entropy_median,narrative_entropy_ci_low,narrative_entropy_ci_high,mean_length_chars_mean,mean_length_chars_median,mean_length_chars_ci_low,mean_length_chars_ci_high,latency_seconds_mean,latency_seconds_median,latency_seconds_ci_low,latency_seconds_ci_high,prompt_tokens_mean,prompt_tokens_median,prompt_tokens_ci_low,prompt_tokens_ci_high,completion_tokens_mean,completion_tokens_median,completion_tokens_ci_low,completion_tokens_ci_high,cost_usd_mean,cost_usd_median,cost_usd_ci_low,cost_usd_ci_high
exp1_grounding,leaky_invalid_upper_bound,deepseek/deepseek-v4-flash-0731,50,0.2031369869765078,0.17684965028066807,0.05880285609390114,0.3912232922353629,0.34023809523809523,0.3333333333333333,0.0,0.5645833333333332,0.35404761904761906,0.3333333333333333,0.16666666666666666,0.5833333333333334,0.3057142857142857,0.3333333333333333,0.16666666666666666,0.5,0.9916666666666667,1.0,1.0,1.0,0.9894246781269502,1.0,0.9496565150128763,1.0,0.010499707506319978,0.0,0.0,0.05034348498712373,0.0,0.0,0.0,0.0,0.5556753863304341,0.5576358584406874,0.48117727379579367,0.6775618000089241,10.22,11.0,5.225,12.0,3.2510874850483997,3.418295834054489,2.226221875540867,3.584962500721156,52.73666666666667,53.25,38.325,69.00833333333333,30.64858977745913,19.560081984000135,5.046998397250718,85.54294377027817,669.48,662.0,606.0,728.5500000000001,797.84,813.5,667.8249999999999,944.1999999999999,0.0001359096,0.00013755,0.000122292,0.00015370649999999996
exp1_grounding,leaky_invalid_upper_bound,qwen/qwen3-8b,50,0.19663532609416323,0.19404424291698552,0.03193295649196632,0.36333839043608984,0.305,0.3333333333333333,0.03750000000000001,0.5,0.475,0.5,0.25,0.6666666666666666,0.22,0.25,0.0,0.39791666666666653,1.0,1.0,1.0,1.0,0.9926889309231173,1.0,0.9378711499809876,1.0,0.007227211634534693,0.0,0.0,0.06212885001901243,0.0,0.0,0.0,0.0,0.552576614529252,0.5457925502118799,0.4559884229260239,0.6622416767293426,11.04,12.0,7.0,12.0,3.407413625699521,3.584962500721156,2.584962500721156,3.584962500721156,50.395,49.95833333333333,33.98125,69.5375,16.146785697199956,15.79081235150079,13.54674347582495,19.39288540765465,894.4,920.0,814.225,958.0,933.1,920.0,811.5749999999999,1108.875,0.0005292053,0.0005245825,0.000465393825,0.0006166241249999999
exp1_grounding,seed_only,deepseek/deepseek-v4-flash-0731,50,0.25720466107391865,0.24925476834755797,0.09317516703615246,0.4195448079209846,0.3280952380952381,0.3333333333333333,0.25,0.4812499999999999,0.3588095238095238,0.3333333333333333,0.25,0.5,0.3130952380952381,0.3333333333333333,0.18541666666666667,0.4166666666666667,0.9833333333333333,1.0,0.6770833333333335,1.0,0.9822190001142731,0.9883092217658391,0.8954563894523326,1.0,0.017619048016457983,0.011523885069628063,0.0,0.10454361054766731,0.0,0.0,0.0,0.0,0.5423151820712669,0.5280558220015423,0.45237178683841067,0.680259660464557,11.04,12.0,6.225,12.0,3.415020073558783,3.584962500721156,2.5592339151627668,3.584962500721156,54.08880952380952,55.625,38.104166666666664,71.11666666666666,31.487023936879705,17.081173034999665,5.2671642098013765,81.75255833087559,326.62,323.5,313.67499999999995,349.0,799.74,817.0,527.0,917.4,0.00011556599999999998,0.00011777999999999999,8.2395e-05,0.0001294305
exp1_grounding,seed_only,qwen/qwen3-8b,50,0.28593934688816863,0.2717384351586478,0.06968908635546783,0.5156744653845305,0.37,0.4166666666666667,0.16666666666666666,0.5833333333333334,0.5366666666666667,0.5416666666666667,0.3333333333333333,0.8145833333333332,0.09333333333333332,0.08333333333333333,0.0,0.3145833333333332,1.0,1.0,1.0,1.0,0.9921888900708237,1.0,0.9336777184160905,1.0,0.007732524467486745,0.0,0.0,0.06632228158390945,0.0,0.0,0.0,0.0,0.5206674028120798,0.5145509353166553,0.4207287351030638,0.6276136210837703,11.12,12.0,6.45,12.0,3.417247183249338,3.584962500721156,2.4445426828730987,3.584962500721156,51.14,51.29166666666667,33.27916666666667,65.30416666666667,16.525207934719802,16.419844651998574,12.434685385073863,19.875414126850227,424.4,423.0,415.22499999999997,437.0,938.1,943.5,779.0250000000001,1087.3,0.0004764902999999999,0.00047890049999999994,0.00040306402499999997,0.000545022725
exp1_grounding,ungrounded,deepseek/deepseek-v4-flash-0731,50,0.2634860827787126,0.23391491718286048,0.12898832753089076,0.42406882477028657,0.36727272727272725,0.3333333333333333,0.25,0.5,0.32545454545454544,0.3333333333333333,0.25,0.4812499999999999,0.30727272727272725,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.9983333333333333,1.0,1.0,1.0,0.9733571174858162,0.99312797869358,0.8765583067045123,1.0,0.026218347442835882,0.0044966527725148414,0.0,0.12232506798531396,0.0,0.0,0.0,0.0,0.5694715987045352,0.5729657321963263,0.4749057416547414,0.6754849677881174,11.52,12.0,9.0,12.0,3.498677445568662,3.584962500721156,3.0362093495397655,3.584962500721156,46.06954545454545,45.666666666666664,30.15625,62.125,44.55608778206006,61.14969616899907,5.293363115153625,96.79122588489606,253.96,250.5,248.0,272.775,771.06,771.5,657.025,894.0749999999999,0.00010776479999999998,0.00010763999999999999,9.478049999999999e-05,0.0001230195
exp1_grounding,ungrounded,qwen/qwen3-8b,50,0.23879071767440826,0.21365082268584482,0.08081287912161546,0.46047351731192093,0.33666666666666667,0.3333333333333333,0.08333333333333333,0.5,0.49,0.5,0.3333333333333333,0.7312499999999998,0.1733333333333333,0.16666666666666666,0.0,0.39791666666666653,1.0,1.0,1.0,1.0,0.9561347140226265,1.0,0.7628794642857143,1.0,0.04386528597737358,0.0,0.0,0.23712053571428565,0.0016666666666666674,0.0,0.0,0.0,0.5171806262660724,0.5082552748604409,0.3852283169541667,0.6533473105841527,10.96,12.0,5.45,12.0,3.385714375685098,3.584962500721156,2.287067734875302,3.584962500721156,48.19333333333333,48.70833333333333,29.177083333333336,72.65208333333334,15.80553555724022,15.880046418998973,13.79931835545085,19.36290827855209,331.1,329.0,328.0,338.0,908.38,901.5,766.05,1079.225,0.0004520516,0.000448747,0.00038692874999999996,0.00052961935
exp2_thai_adaptation,normalization_no_context,deepseek/deepseek-v4-flash-0731,50,0.24604426532082954,0.23341055663966673,0.11607566091672773,0.4118938675260706,0.39166666666666666,0.4166666666666667,0.3333333333333333,0.5,0.304,0.3333333333333333,0.21125000000000002,0.39791666666666653,0.30433333333333334,0.3333333333333333,0.25,0.4166666666666667,0.9966666666666667,1.0,1.0,1.0,0.9796992183251868,0.9915538132573058,0.8955517613227894,1.0,0.020010759385577673,0.008446186742694227,0.0,0.10444823867721062,0.0,0.0,0.0,0.0,0.6416509746341604,0.6394540277319247,0.5460935913705584,0.7403903949029271,11.0,12.0,5.225,12.0,3.400077750086451,3.584962500721156,2.169154219390026,3.584962500721156,32.202,32.91666666666667,19.11875,44.17916666666666,35.78157527474017,21.66471964050288,3.896483293353049,71.72978557974947,181.76,181.0,176.0,203.0,679.72,687.5,551.075,757.5249999999999,9.247199999999999e-05,9.339e-05,7.668899999999998e-05,0.00010148999999999998
exp2_thai_adaptation,normalization_no_context,qwen/qwen3-8b,50,0.25484269923664044,0.26022645568595587,0.08143091190785338,0.4538695263815319,0.3483333333333334,0.3333333333333333,0.10208333333333333,0.5,0.43833333333333335,0.4166666666666667,0.25,0.6479166666666666,0.21333333333333332,0.25,0.0,0.4812499999999999,1.0,1.0,1.0,1.0,0.9735534454763359,1.0,0.6807644110275689,1.0,0.026202652084639753,0.0,0.0,0.319235588972431,0.0,0.0,0.0,0.0,0.6438233726691562,0.6335083925445371,0.5028846153846154,0.770435710352423,10.24,11.0,4.0,12.0,3.2173915115856135,3.4182958340544896,1.6258145836939115,3.584962500721156,23.056666666666665,22.666666666666668,14.352083333333333,35.63333333333333,13.32303772077983,13.182491141000355,11.231393958027729,15.720781845578859,218.9,220.0,214.0,224.0,754.06,746.0,653.675,861.425,0.00036870859999999997,0.0003652285,0.00032312117499999995,0.00041815637499999995
exp2_thai_adaptation,thai_context_prompt,deepseek/deepseek-v4-flash-0731,50,0.25720466107391865,0.24925476834755797,0.09317516703615246,0.4195448079209846,0.3280952380952381,0.3333333333333333,0.25,0.4812499999999999,0.3588095238095238,0.3333333333333333,0.25,0.5,0.3130952380952381,0.3333333333333333,0.18541666666666667,0.4166666666666667,0.9833333333333333,1.0,0.6770833333333335,1.0,0.9822190001142731,0.9883092217658391,0.8954563894523326,1.0,0.017619048016457983,0.011523885069628063,0.0,0.10454361054766731,0.0,0.0,0.0,0.0,0.5423151820712669,0.5280558220015423,0.45237178683841067,0.680259660464557,11.04,12.0,6.225,12.0,3.415020073558783,3.584962500721156,2.5592339151627668,3.584962500721156,54.08880952380952,55.625,38.104166666666664,71.11666666666666,31.487023936879705,17.081173034999665,5.2671642098013765,81.75255833087559,326.62,323.5,313.67499999999995,349.0,799.74,817.0,527.0,917.4,0.00011556599999999998,0.00011777999999999999,8.2395e-05,0.0001294305
exp2_thai_adaptation,thai_context_prompt,qwen/qwen3-8b,50,0.28593934688816863,0.2717384351586478,0.06968908635546783,0.5156744653845305,0.37,0.4166666666666667,0.16666666666666666,0.5833333333333334,0.5366666666666667,0.5416666666666667,0.3333333333333333,0.8145833333333332,0.09333333333333332,0.08333333333333333,0.0,0.3145833333333332,1.0,1.0,1.0,1.0,0.9921888900708237,1.0,0.9336777184160905,1.0,0.007732524467486745,0.0,0.0,0.06632228158390945,0.0,0.0,0.0,0.0,0.5206674028120798,0.5145509353166553,0.4207287351030638,0.6276136210837703,11.12,12.0,6.45,12.0,3.417247183249338,3.584962500721156,2.4445426828730987,3.584962500721156,51.14,51.29166666666667,33.27916666666667,65.30416666666667,16.525207934719802,16.419844651998574,12.434685385073863,19.875414126850227,424.4,423.0,415.22499999999997,437.0,938.1,943.5,779.0250000000001,1087.3,0.0004764902999999999,0.00047890049999999994,0.00040306402499999997,0.000545022725
