campaign,seed,sentiment_js_distance_deepseek_minus_qwen,positive_share_deepseek_minus_qwen,neutral_share_deepseek_minus_qwen,negative_share_deepseek_minus_qwen,schema_valid_share_deepseek_minus_qwen,thai_character_ratio_deepseek_minus_qwen,latin_character_ratio_deepseek_minus_qwen,exact_duplicate_share_deepseek_minus_qwen,distinct_char_bigram_deepseek_minus_qwen,narrative_count_deepseek_minus_qwen,narrative_entropy_deepseek_minus_qwen,mean_length_chars_deepseek_minus_qwen,latency_seconds_deepseek_minus_qwen,prompt_tokens_deepseek_minus_qwen,completion_tokens_deepseek_minus_qwen,cost_usd_deepseek_minus_qwen
KFC Bucket Ware,1,-0.010434682526084038,0.08333333333333337,-0.16666666666666669,0.08333333333333334,0.0,-0.04140450646661831,0.041404506466618266,0.0,0.020873675699210115,1.0,0.16666666666666696,0.6666666666666643,35.70482460200583,-79.0,-200.0,-0.000402591
KFC Bucket Ware,2,0.22475893657197993,-0.16666666666666669,-0.08333333333333337,0.25,0.0,-0.08735632183908049,0.08735632183908046,0.0,-0.08794800141363879,-1.0,-0.16666666666666696,7.083333333333336,-11.160373276994505,-84.0,-109.0,-0.00035495700000000004
KFC Bucket Ware,3,-0.012314055935637391,0.0,0.08333333333333326,-0.08333333333333337,0.0,-0.010752688172043001,0.010752688172043012,0.0,-0.08296380063279724,-1.0,-0.16666666666666696,27.250000000000007,-2.7836155499971937,-100.0,0.0,-0.000328539
KFC Bucket Ware,4,0.025747131107426907,0.0,-0.08333333333333331,0.08333333333333333,0.0,-0.032664609053497884,0.03266460905349794,0.0,-0.04843068875326939,1.0,0.16666666666666696,22.16666666666667,-0.6065516489979927,-97.0,85.0,-0.000277959
KFC Bucket Ware,5,0.07395561645893867,0.0,-0.16666666666666669,0.16666666666666669,0.0,0.005870841487279899,-0.005870841487279843,0.0,0.06870112439018516,0.0,0.0,-9.0,63.71874640200258,-101.0,-174.0,-0.000389237
KFC Bucket Ware,6,0.079021283944471,-0.08333333333333337,-0.25000000000000006,0.3333333333333333,0.0,-0.01663585951940849,0.0166358595194085,0.0,-0.06549364613880748,2.0,0.33333333333333304,26.41666666666667,74.66045956900052,-105.0,82.0,-0.000291928
KFC Bucket Ware,7,0.059829114588107635,0.08333333333333337,-0.33333333333333337,0.25,0.0,0.004077840998353843,-0.004077840998353836,0.0,-0.043360314152909085,-5.0,-0.896240625180289,-3.5,1.642006438007229,-101.0,-229.0,-0.000423029
KFC Bucket Ware,8,0.17617702317986575,-0.16666666666666669,0.0,0.16666666666666666,0.0,-0.11226611226611227,0.11226611226611227,0.0,-0.0013676747341240247,-2.0,-0.46747003953640087,-2.75,-13.324525502001052,-74.0,-181.0,-0.000382926
KFC Bucket Ware,9,0.24030389837774452,-0.25000000000000006,0.08333333333333337,0.16666666666666669,0.0,-0.035105987643807124,0.03510598764380719,0.0,0.004270509717063442,0.0,0.0,-3.9166666666666643,2.884438773995498,-106.0,-99.0,-0.0003612779999999999
KFC Bucket Ware,10,-0.0793929914965778,0.16666666666666669,-0.25000000000000006,0.08333333333333334,0.0,0.0,0.0,0.0,-0.06748149423308658,-1.0,-0.16666666666666696,2.8333333333333357,55.990599883996765,-113.0,-69.0,-0.00031634400000000003
