experiment,model,feed,network,variant,runs,sentiment_js_distance_mean,sentiment_js_distance_median,sentiment_js_distance_ci_low,sentiment_js_distance_ci_high,negative_share_mean,negative_share_median,negative_share_ci_low,negative_share_ci_high,neutral_share_mean,neutral_share_median,neutral_share_ci_low,neutral_share_ci_high,positive_share_mean,positive_share_median,positive_share_ci_low,positive_share_ci_high,visible_action_rate_mean,visible_action_rate_median,visible_action_rate_ci_low,visible_action_rate_ci_high,like_share_mean,like_share_median,like_share_ci_low,like_share_ci_high,share_share_mean,share_share_median,share_share_ci_low,share_share_ci_high,comment_share_mean,comment_share_median,comment_share_ci_low,comment_share_ci_high,reply_share_mean,reply_share_median,reply_share_ci_low,reply_share_ci_high,schema_valid_share_mean,schema_valid_share_median,schema_valid_share_ci_low,schema_valid_share_ci_high,narrative_count_mean,narrative_count_median,narrative_count_ci_low,narrative_count_ci_high,mean_rationale_chars_mean,mean_rationale_chars_median,mean_rationale_chars_ci_low,mean_rationale_chars_ci_high,latency_seconds_mean,latency_seconds_median,latency_seconds_ci_low,latency_seconds_ci_high,prompt_tokens_mean,prompt_tokens_median,prompt_tokens_ci_low,prompt_tokens_ci_high,completion_tokens_mean,completion_tokens_median,completion_tokens_ci_low,completion_tokens_ci_high,cost_usd_mean,cost_usd_median,cost_usd_ci_low,cost_usd_ci_high
exp4_social_mechanism,deepseek/deepseek-v4-flash-0731,chronological,matched_random,baseline,50,0.29949174306066106,0.29902007788791607,0.07763459089069262,0.4686374262617507,0.02,0.0,0.0,0.125,0.57,0.625,0.375,0.75,0.41,0.375,0.25,0.625,0.7825,0.75,0.625,0.875,0.1575,0.125,0.0,0.25,0.145,0.125,0.0,0.25,0.4675,0.375,0.25,0.875,0.0125,0.0,0.0,0.125,1.0,1.0,1.0,1.0,6.88,8.0,2.0,8.0,39.6075,38.5,23.05,63.834374999999994,32.822595050740055,23.710627854499762,5.4190533547995985,116.19409747995017,755.74,751.0,708.0,842.725,1037.46,1064.5,773.225,1228.375,0.00023586590000000001,0.00024200749999999998,0.00018987337499999998,0.0002685315
exp4_social_mechanism,deepseek/deepseek-v4-flash-0731,chronological,post_affiliation_proxy,baseline,50,0.3211152785992983,0.31703755377197296,0.18870590904780776,0.4964768552995306,0.0075,0.0,0.0,0.125,0.605,0.625,0.5,0.75,0.3875,0.375,0.25,0.5,0.78,0.75,0.625,0.9718749999999998,0.1775,0.25,0.0,0.25,0.155,0.125,0.0,0.3468749999999998,0.435,0.375,0.25,0.9718749999999998,0.0125,0.0,0.0,0.125,1.0,1.0,1.0,1.0,6.6,8.0,1.225,8.0,40.5025,41.875,25.01875,53.484375,24.537196189179596,13.032498979000593,4.895147168223139,121.56459475922372,767.56,759.0,716.0,836.0,1041.42,1076.0,685.4000000000001,1283.875,0.000237347,0.000243725,0.000174784,0.00027968012499999997
exp4_social_mechanism,deepseek/deepseek-v4-flash-0731,interest,matched_random,baseline,50,0.31592562977703,0.2828886156304462,0.18352934317262354,0.4902129837660301,0.0225,0.0,0.0,0.125,0.58,0.625,0.5,0.75,0.3975,0.375,0.25,0.5,0.7675,0.75,0.625,0.875,0.18,0.125,0.0,0.25,0.1775,0.125,0.02812500000000001,0.25,0.395,0.375,0.25,0.7218749999999998,0.015,0.0,0.0,0.125,1.0,1.0,1.0,1.0,6.48,8.0,2.0,8.0,41.8875,41.3125,27.9375,61.72812499999999,22.91928388247972,13.458640291999473,5.292633965101868,74.08513540684932,762.9,742.5,712.0,859.8249999999999,1036.18,1054.0,805.925,1229.15,0.0002361009,0.00023885250000000002,0.000197484125,0.000270118875
exp4_social_mechanism,deepseek/deepseek-v4-flash-0731,interest,post_affiliation_proxy,baseline,50,0.31538512649321787,0.29902007788791607,0.16102642702161962,0.4964768552995306,0.015,0.0,0.0,0.125,0.5925,0.625,0.5,0.75,0.3925,0.375,0.25,0.5,0.775,0.75,0.625,0.875,0.1775,0.125,0.125,0.25,0.1775,0.125,0.125,0.25,0.415,0.375,0.25,0.625,0.005,0.0,0.0,0.09687499999999982,1.0,1.0,1.0,1.0,6.56,8.0,1.0,8.0,40.4175,40.5,27.878125,52.734375,20.888343340020146,14.666595583499657,4.593034217448713,65.8639872143254,773.2,754.0,720.0,856.9749999999999,1048.74,1094.5,746.7,1250.875,0.0002390312,0.0002490325,0.00018464449999999998,0.000273886375
exp4_social_mechanism,deepseek/deepseek-v4-flash-0731,popularity,matched_random,baseline,50,0.3050771601920403,0.29902007788791607,0.160068655913224,0.4686374262617507,0.0075,0.0,0.0,0.125,0.5825,0.625,0.375,0.75,0.41,0.375,0.25,0.625,0.7825,0.75,0.625,0.875,0.15,0.125,0.0,0.25,0.155,0.125,0.0,0.25,0.4675,0.375,0.25,0.875,0.01,0.0,0.0,0.125,1.0,1.0,1.0,1.0,6.56,8.0,3.0,8.0,39.9475,39.375,30.028125,55.70624999999999,21.228958845060042,16.17056975000014,5.8644302357498415,47.795246956323716,766.32,762.0,708.0,835.75,1028.3,1044.5,812.975,1232.5,0.0002349048,0.00023841,0.00019674075,0.00027009587499999995
exp4_social_mechanism,deepseek/deepseek-v4-flash-0731,popularity,post_affiliation_proxy,baseline,50,0.3233481511508016,0.29902007788791607,0.160068655913224,0.4964768552995306,0.0075,0.0,0.0,0.125,0.61,0.625,0.403125,0.75,0.3825,0.375,0.25,0.5968749999999998,0.76,0.75,0.625,0.875,0.165,0.125,0.0,0.25,0.16,0.125,0.0,0.25,0.415,0.375,0.25,0.75,0.02,0.0,0.0,0.125,1.0,1.0,1.0,1.0,6.56,8.0,2.0,8.0,43.49,41.4375,29.55625,66.053125,30.03875223331983,20.151871979500356,4.652975749849157,94.76175893879999,770.4,759.0,716.0,846.0,1067.44,1099.5,743.15,1277.425,0.0002422152,0.0002472425,0.00018827437499999996,0.000283276125
exp4_social_mechanism,qwen/qwen3-8b,chronological,matched_random,baseline,50,0.32910217076689846,0.31703755377197296,0.160944132695267,0.4686374262617507,0.0025,0.0,0.0,0.0,0.64,0.625,0.5,0.8468749999999998,0.3575,0.375,0.153125,0.5,0.745,0.75,0.625,0.875,0.145,0.125,0.125,0.25,0.205,0.25,0.125,0.25,0.2975,0.25,0.25,0.5,0.0975,0.125,0.0,0.125,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,39.9775,38.875,30.9875,52.415625000000006,21.778639307520134,21.69250393749826,16.832932937650547,25.218995711049864,952.3,954.0,924.0,988.0,1199.06,1185.5,1059.375,1332.2,0.0006569914,0.0006517224999999999,0.000590603325,0.0007177689999999999
exp4_social_mechanism,qwen/qwen3-8b,chronological,post_affiliation_proxy,baseline,50,0.3276856919207467,0.3350550296560298,0.160068655913224,0.4686374262617507,0.005,0.0,0.0,0.09687499999999982,0.65,0.625,0.5,0.8468749999999998,0.345,0.375,0.153125,0.5,0.745,0.75,0.625,0.875,0.1475,0.125,0.125,0.25,0.2125,0.25,0.125,0.25,0.3025,0.25,0.25,0.5,0.0825,0.125,0.0,0.22187499999999982,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,38.98,38.3125,29.55625,48.259375,21.407653405040037,21.806120729499526,17.809355287575,24.349953061825452,966.3,968.0,938.0,1002.0,1183.42,1195.5,997.4749999999999,1319.9499999999998,0.0006515132,0.0006571695,0.00056687995,0.000713923925
exp4_social_mechanism,qwen/qwen3-8b,interest,matched_random,baseline,50,0.3388983208474944,0.3351591549627993,0.16651203786850535,0.4902129837660301,0.0,0.0,0.0,0.0,0.6625,0.625,0.528125,0.8468749999999998,0.3375,0.375,0.153125,0.4718749999999998,0.74,0.75,0.625,0.875,0.15,0.125,0.125,0.25,0.2075,0.25,0.125,0.25,0.28,0.25,0.125,0.375,0.1025,0.125,0.0,0.22187499999999982,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,38.655,38.1875,29.85,51.73749999999999,22.3071099108598,21.421193062500606,17.019917365626316,26.0175979644011,953.3,955.0,925.0,989.0,1192.22,1184.0,1048.625,1381.6,0.0006539962,0.0006525025000000001,0.000589947475,0.0007380961249999999
exp4_social_mechanism,qwen/qwen3-8b,interest,post_affiliation_proxy,baseline,50,0.34320560537911926,0.3351591549627993,0.160068655913224,0.4737660141955652,0.0025,0.0,0.0,0.0,0.6725,0.625,0.5,0.75,0.325,0.375,0.25,0.5,0.74,0.75,0.625,0.875,0.16,0.125,0.125,0.25,0.21,0.25,0.125,0.25,0.29,0.25,0.125,0.4718749999999998,0.08,0.125,0.0,0.125,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,40.18,39.875,29.25625,50.19375,22.24886261008003,21.486593479001385,17.343472807925355,29.589044542000003,967.3,969.0,939.0,1003.0,1193.2,1208.0,1004.7,1395.55,0.0006560800999999999,0.0006622329999999999,0.0005680545,0.0007517470999999999
