experiment,generator_model,feed,network,variant,pairs,judge_calls,real_win_share,synthetic_win_share,tie_share,simulated_realism_score,simulated_realism_score_ci_low,simulated_realism_score_ci_high,preference_consistency,position_a_choice_share,judge_sentiment_agreement_real,judge_sentiment_agreement_synthetic,latency_seconds_mean,cost_usd,real_thai_naturalness_mean,synthetic_thai_naturalness_mean,gap_thai_naturalness_mean,gap_thai_naturalness_ci_low,gap_thai_naturalness_ci_high,real_campaign_relevance_mean,synthetic_campaign_relevance_mean,gap_campaign_relevance_mean,gap_campaign_relevance_ci_low,gap_campaign_relevance_ci_high,real_social_media_plausibility_mean,synthetic_social_media_plausibility_mean,gap_social_media_plausibility_mean,gap_social_media_plausibility_ci_low,gap_social_media_plausibility_ci_high,real_pragmatic_cultural_fit_mean,synthetic_pragmatic_cultural_fit_mean,gap_pragmatic_cultural_fit_mean,gap_pragmatic_cultural_fit_ci_low,gap_pragmatic_cultural_fit_ci_high,real_contextual_specificity_mean,synthetic_contextual_specificity_mean,gap_contextual_specificity_mean,gap_contextual_specificity_ci_low,gap_contextual_specificity_ci_high,real_unsupported_claim_risk_mean,synthetic_unsupported_claim_risk_mean,gap_unsupported_claim_risk_mean,gap_unsupported_claim_risk_ci_low,gap_unsupported_claim_risk_ci_high,real_negative_share,real_neutral_share,real_positive_share,real_sentiment_jsd,synthetic_negative_share,synthetic_neutral_share,synthetic_positive_share,synthetic_sentiment_jsd
exp4_social_mechanism,deepseek/deepseek-v4-flash-0731,chronological,matched_random,baseline,50,100,0.6,0.4,0.0,0.4,0.28,0.53,0.84,0.56,0.88,0.94,32.5737419913397,0.038603825,3.87,4.33,0.46,-0.06,0.98,2.99,4.57,1.58,1.09,2.06,3.94,4.1,0.16,-0.35,0.7,3.69,4.25,0.56,0.02,1.09,2.35,3.24,0.89,0.37,1.38,2.0,2.02,0.02,-0.37,0.4,0.34,0.46,0.2,0.22675557083063563,0.03,0.55,0.42,0.19384952013576662
exp4_social_mechanism,deepseek/deepseek-v4-flash-0731,chronological,post_affiliation_proxy,baseline,50,100,0.61,0.39,0.0,0.39,0.27,0.52,0.86,0.57,0.9,0.96,29.676264092830095,0.037825199999999996,3.79,4.32,0.53,0.019750000000000014,1.06,2.82,4.78,1.96,1.5,2.41,3.87,4.0,0.13,-0.45,0.74,3.59,4.26,0.67,0.07,1.2602499999999988,2.14,3.62,1.48,1.0,1.94,2.08,1.89,-0.19,-0.58,0.18,0.23,0.47,0.3,0.106661883045736,0.02,0.56,0.42,0.21823008842871905
exp4_social_mechanism,deepseek/deepseek-v4-flash-0731,interest,matched_random,baseline,50,100,0.55,0.45,0.0,0.45,0.32,0.56,0.78,0.59,0.9,0.88,38.4025977545802,0.039107525,3.79,4.28,0.49,-0.010249999999999985,0.9802499999999986,2.63,4.66,2.03,1.54,2.470249999999999,3.84,3.86,0.02,-0.53,0.57,3.44,4.16,0.72,0.17,1.28,2.04,3.51,1.47,0.9097500000000001,1.98,2.04,1.91,-0.13,-0.57,0.27024999999999866,0.2,0.57,0.23,0.16025417923220756,0.0,0.54,0.46,0.28652504147700825
exp4_social_mechanism,deepseek/deepseek-v4-flash-0731,interest,post_affiliation_proxy,baseline,50,100,0.48,0.52,0.0,0.52,0.39,0.64,0.88,0.56,0.84,0.92,34.96364811581021,0.04125165,3.72,4.4,0.68,0.2,1.17,2.5,4.75,2.25,1.84,2.6502499999999984,3.69,4.15,0.46,-0.09,1.02,3.39,4.33,0.94,0.34,1.54,2.04,3.55,1.51,0.98,2.0102499999999983,1.81,2.02,0.21,-0.21,0.61,0.14,0.53,0.33,0.07723632538923741,0.02,0.52,0.46,0.21452177018538068
exp4_social_mechanism,deepseek/deepseek-v4-flash-0731,popularity,matched_random,baseline,50,100,0.57,0.43,0.0,0.43,0.31,0.55,0.78,0.59,0.9,0.88,27.637256767060027,0.037922,3.79,4.24,0.45,-0.09,0.9902499999999986,2.75,4.68,1.93,1.48,2.37,3.85,3.89,0.04,-0.52,0.65,3.56,4.07,0.51,-0.06024999999999998,1.1002499999999986,2.17,3.37,1.2,0.67,1.68,1.69,2.02,0.33,-0.08,0.73,0.23,0.53,0.24,0.15401115907076643,0.02,0.64,0.34,0.24030062024302945
exp4_social_mechanism,deepseek/deepseek-v4-flash-0731,popularity,post_affiliation_proxy,baseline,50,100,0.51,0.49,0.0,0.49,0.37,0.61,0.78,0.57,0.9,0.92,32.20950610747961,0.0380849,3.93,4.44,0.51,0.07,0.94,2.92,4.85,1.93,1.51,2.35,3.84,4.18,0.34,-0.15,0.84,3.59,4.44,0.85,0.31,1.38,2.25,3.65,1.4,0.9097500000000001,1.82,1.9,1.8,-0.1,-0.49,0.3,0.17,0.37,0.46,0.061440945959774694,0.0,0.58,0.42,0.2901183503277796
exp4_social_mechanism,qwen/qwen3-8b,chronological,matched_random,baseline,43,86,0.6744186046511628,0.32558139534883723,0.0,0.32558139534883723,0.19767441860465115,0.46511627906976744,0.9069767441860465,0.5,0.9534883720930233,0.9302325581395349,30.728606033848337,0.03181785,3.686046511627907,3.895348837209302,0.20930232558139536,-0.45348837209302323,0.872093023255814,3.2093023255813953,3.941860465116279,0.7325581395348837,0.12790697674418605,1.3607558139534865,3.941860465116279,3.4651162790697674,-0.47674418604651164,-1.1511627906976745,0.2441860465116279,3.744186046511628,3.63953488372093,-0.10465116279069768,-0.7793604651162791,0.5584302325581378,2.441860465116279,2.5232558139534884,0.08139534883720931,-0.5119186046511628,0.6744186046511628,1.627906976744186,1.9534883720930232,0.32558139534883723,-0.10465116279069768,0.7441860465116279,0.08139534883720931,0.5,0.4186046511627907,0.10085364876956415,0.03488372093023256,0.6162790697674418,0.3488372093023256,0.19759496750047623
exp4_social_mechanism,qwen/qwen3-8b,chronological,post_affiliation_proxy,baseline,45,90,0.6222222222222222,0.37777777777777777,0.0,0.37777777777777777,0.25555555555555554,0.5111111111111111,0.8666666666666667,0.5666666666666667,0.8666666666666667,0.9111111111111111,28.312234040256186,0.033130525,3.6444444444444444,4.033333333333333,0.3888888888888889,-0.24444444444444444,1.0336111111111097,2.8333333333333335,4.355555555555555,1.5222222222222221,0.9777777777777777,2.0555555555555554,3.7333333333333334,3.7222222222222223,-0.011111111111111112,-0.6777777777777778,0.6669444444444429,3.466666666666667,3.9555555555555557,0.4888888888888889,-0.17777777777777778,1.1777777777777778,2.2222222222222223,2.911111111111111,0.6888888888888889,0.1663888888888889,1.2222222222222223,1.8222222222222222,1.7444444444444445,-0.07777777777777778,-0.4666666666666667,0.28888888888888886,0.2111111111111111,0.5111111111111111,0.2777777777777778,0.12051412621162223,0.022222222222222223,0.8222222222222222,0.15555555555555556,0.34668405958691045
exp4_social_mechanism,qwen/qwen3-8b,interest,matched_random,baseline,42,84,0.5833333333333334,0.4166666666666667,0.0,0.4166666666666667,0.27380952380952384,0.5595238095238095,0.8809523809523809,0.5119047619047619,0.9047619047619048,0.9047619047619048,24.948091855630906,0.029789649999999997,3.3333333333333335,4.011904761904762,0.6785714285714286,0.07142857142857142,1.3455357142857127,2.6547619047619047,3.9761904761904763,1.3214285714285714,0.75,1.8931547619047602,3.619047619047619,3.642857142857143,0.023809523809523808,-0.7023809523809523,0.7380952380952381,3.2857142857142856,3.761904761904762,0.47619047619047616,-0.20238095238095238,1.1547619047619047,2.119047619047619,2.5714285714285716,0.4523809523809524,-0.16666666666666666,1.0238095238095237,1.7023809523809523,1.8571428571428572,0.15476190476190477,-0.30952380952380953,0.5952380952380952,0.19047619047619047,0.5238095238095238,0.2857142857142857,0.08784749537162055,0.047619047619047616,0.5,0.4523809523809524,0.1614632237995141
exp4_social_mechanism,qwen/qwen3-8b,interest,post_affiliation_proxy,baseline,41,82,0.573170731707317,0.4268292682926829,0.0,0.4268292682926829,0.2804878048780488,0.573170731707317,0.8780487804878049,0.5121951219512195,0.9512195121951219,0.926829268292683,24.701694563988074,0.029464575,3.451219512195122,4.2317073170731705,0.7804878048780488,0.14634146341463414,1.3780487804878048,2.597560975609756,4.353658536585366,1.7560975609756098,1.182621951219512,2.3048780487804876,3.5853658536585367,4.024390243902439,0.43902439024390244,-0.18292682926829268,1.1100609756097546,3.2560975609756095,4.170731707317073,0.9146341463414634,0.23140243902439028,1.5975609756097562,2.268292682926829,2.8048780487804876,0.5365853658536586,-0.07317073170731707,1.1097560975609757,1.7560975609756098,1.5365853658536586,-0.21951219512195122,-0.5246951219512195,0.0975609756097561,0.13414634146341464,0.5365853658536586,0.32926829268292684,0.0760871753921527,0.06097560975609756,0.7682926829268293,0.17073170731707318,0.28293720964612085
exp4_social_mechanism,qwen/qwen3-8b,popularity,matched_random,baseline,44,88,0.6818181818181818,0.3068181818181818,0.011363636363636364,0.3125,0.19318181818181818,0.4375,0.8181818181818182,0.5862068965517241,0.9318181818181818,0.9318181818181818,26.638742257079272,0.03141145,4.045454545454546,4.0227272727272725,-0.022727272727272728,-0.5795454545454546,0.5911931818181803,3.215909090909091,4.204545454545454,0.9886363636363636,0.4659090909090909,1.5113636363636365,4.0,3.7045454545454546,-0.29545454545454547,-0.9204545454545454,0.32954545454545453,3.8636363636363638,3.897727272727273,0.03409090909090909,-0.5795454545454546,0.6931818181818182,2.5454545454545454,2.6704545454545454,0.125,-0.409375,0.6477272727272727,1.7727272727272727,1.8409090909090908,0.06818181818181818,-0.3184659090909091,0.4318181818181818,0.125,0.5909090909090909,0.2840909090909091,0.11068966862024725,0.022727272727272728,0.625,0.3522727272727273,0.22635425540368107
